step,mse,val mse,PSNR,val PSNR
1,0.02948596248714398,0.009502016767618004,18.161846594878103,20.768184478194627
2,0.007485909299619505,0.0046509101818729606,21.778688515452657,23.644714348404495
3,0.005248253178896449,0.005116086895146442,23.297529168840402,23.35632413228353
4,0.005254708997889177,0.0053925270055144746,23.4214728010862,23.294165929158527
5,0.004237625037225793,0.004099031642976182,24.306672220900378,24.139159492210105
6,0.002426672866108624,0.002430348246815373,26.61577608317835,26.59760358598497
7,0.0021574983297779457,0.0020971888182598547,27.001334537266214,27.197725882353605
8,0.0020853285425091127,0.0021203730246742015,27.175920067821274,27.03007772233751
9,0.0019325032422138763,0.0018944246077875573,27.483978525483945,27.535864031756365
10,0.001893886077762082,0.0018083314732562198,27.56083688841795,27.734399188006364
11,0.0016982846674606956,0.0015692923487491768,27.96215050787873,28.29538425869412
12,0.0017171350652128044,0.0016210968634199903,27.966115721056994,28.199031801576968
13,0.0015615798571289423,0.0015992835243836183,28.340414494092308,28.131079836244936
14,0.0014728343159617207,0.0014061439642251504,28.585821008270678,28.73055467252378
15,0.0014083676207977153,0.0012936013507122105,28.77602423398621,29.15191938612196
16,0.0010857760523527438,0.0010195989396716296,29.88697066818595,30.147535663180882
17,0.0010525687698460886,0.0010446513136331407,30.009067001530923,30.075229150277597
18,0.0010129924946546132,0.000993696424929011,30.115763982920992,30.216910362243652
19,0.001007929260323729,0.0009503935023935304,30.166938207887398,30.418536610073513
20,0.001008170035954234,0.0009787476647438276,30.178373412051123,30.286197817767107
21,0.0009986001975362392,0.000953504489303601,30.228263198814908,30.376187070210776
22,0.000977199316751407,0.0009360761655477324,30.277139713085095,30.519356890077944
23,0.0009558795668594149,0.0009639426339331463,30.377027673874185,30.373147145024053
24,0.0009599101444250995,0.0009430033204369937,30.377630384282913,30.424889705799245
25,0.0009350340967566124,0.0009390051825903356,30.464034067570207,30.43634191442419
26,0.0009495399865558952,0.0009301552667575715,30.41915197878084,30.525841430381494
27,0.0009365392430845083,0.000875095855789604,30.5018177244137,30.779335000779895
28,0.0009232817031313928,0.0009200183131421606,30.53293184875413,30.540193501225225
29,0.0009179699205452951,0.000870979225793336,30.56488948215245,30.826661286530673
30,0.0009116534070549912,0.0008705659224048119,30.599055674749298,30.786048401726617
